amount_transferred,mode_of_transaction,date_and_time,account_number,place_of_transaction,merchant,label,amount_before_transaction,amount_after_transaction
4155.326059,Mobile,08-01-2024 23:01,5651340785,Suryapet,unknown,legitimate,7108.532729,2953.206669
843.8640392,Mobile,03-03-2024 07:01,1893316184,Visakhapatnam,unknown,fraud,3488.082219,2644.21818
8236.126371,Mobile,11-02-2024 17:31,5072351888,Bokaro,unknown,legitimate,14911.23875,6675.112374
267.7818824,Online,16-01-2024 06:13,9041249537,Bhind,unknown,legitimate,4519.721414,4251.939532
6074.141074,Online,15-01-2024 11:30,9637199351,Guntur,unknown,fraud,15731.707,9657.565924
5612.170618,Mobile,03-02-2024 16:24,9255364278,Bidhannagar,unknown,legitimate,12482.21662,6870.046003
8882.1556,Mobile,06-01-2024 14:37,8932655192,Gwalior,unknown,fraud,16823.39705,7941.241451
485.6826788,Online,08-01-2024 08:44,5220645017,Parbhani,unknown,legitimate,3483.82401,2998.141331
4557.517037,Online,19-02-2024 01:31,5766881121,Bihar Sharif,unknown,legitimate,5441.462487,883.9454502
4850.768641,Branch,27-01-2024 13:08,7525574307,Ahmedabad,unknown,fraud,9780.214731,4929.44609
6714.042852,Online,18-02-2024 14:52,3665140124,Ambattur,unknown,fraud,9928.400163,3214.357311
7910.431471,Branch,16-01-2024 00:15,2941555365,Guna,unknown,legitimate,10011.0548,2100.623334
8177.874696,Mobile,08-02-2024 11:53,1784757507,Farrukhabad,unknown,fraud,17709.03179,9531.157095
664.0893973,Branch,07-02-2024 18:55,3864697063,Kottayam,unknown,legitimate,5159.572719,4495.483322
780.2654095,Branch,04-03-2024 20:44,1457150278,Nanded,unknown,legitimate,2609.880471,1829.615061
7288.304204,Online,18-01-2024 02:22,4603090817,Vasai-Virar,unknown,fraud,9354.945665,2066.641462
2882.392527,Branch,14-01-2024 01:35,648628653,Pune,unknown,legitimate,5761.418977,2879.02645
5291.463666,Branch,10-03-2024 19:03,9663854271,Sambalpur,unknown,fraud,15284.69472,9993.231055
7066.627818,Online,19-01-2024 19:20,8917989297,Miryalaguda,unknown,legitimate,9819.941673,2753.313855
2342.564098,Mobile,08-01-2024 13:57,1501210940,Guna,unknown,legitimate,5697.701963,3355.137865
9580.553298,Online,11-03-2024 22:06,6328804613,Udupi,unknown,legitimate,16207.90177,6627.348467
8069.391097,Branch,07-02-2024 01:05,2078232669,Siwan,unknown,fraud,11079.60872,3010.217626
2093.501443,Mobile,20-01-2024 05:30,7265831364,Nellore,unknown,fraud,4329.963529,2236.462085
7333.440051,Mobile,12-03-2024 21:20,3643674573,Thane,unknown,fraud,9003.948199,1670.508148
5899.178255,Online,04-03-2024 11:49,4320315626,Panipat,unknown,fraud,9094.736638,3195.558384
7150.574291,Online,22-02-2024 00:11,625262413,Sambalpur,unknown,fraud,8299.139619,1148.565327
5870.967962,Online,08-03-2024 21:43,7260085530,Bihar Sharif,unknown,legitimate,6155.569168,284.6012055
3028.658565,Branch,24-02-2024 12:04,1557778416,Ozhukarai,unknown,legitimate,11094.61137,8065.952804
2324.108237,Branch,10-01-2024 02:37,7424324870,Durg,unknown,legitimate,3789.268167,1465.15993
8049.956389,Online,07-03-2024 21:29,9688576233,Pune,unknown,fraud,15832.1272,7782.170813
6956.071072,Branch,07-03-2024 10:57,9810371769,Panvel,unknown,legitimate,14951.74161,7995.670542
3610.759361,Branch,30-01-2024 20:51,1183771117,Korba,unknown,fraud,9036.162671,5425.403311
789.4473668,Branch,07-01-2024 16:07,6934164175,Srinagar,unknown,fraud,3955.298754,3165.851387
7533.623571,Online,09-03-2024 10:25,5319559842,Jhansi,unknown,fraud,9069.447635,1535.824064
8751.511768,Branch,26-02-2024 16:26,4481537232,Gandhidham,unknown,fraud,16145.88232,7394.370557
1900.067175,Branch,21-01-2024 03:31,756779434,Morena,unknown,fraud,7953.798337,6053.731161
1403.700344,Branch,29-02-2024 06:22,9886031844,Anantapuram,unknown,legitimate,7992.689563,6588.989219
3871.423266,Branch,24-01-2024 04:56,5509293232,Bijapur,unknown,legitimate,4057.247255,185.8239895
5953.626814,Mobile,13-03-2024 19:26,1987737484,Anantapur,unknown,fraud,15236.04527,9282.418456
8771.242527,Online,20-02-2024 00:15,5157268450,Srikakulam,unknown,legitimate,9527.515383,756.2728557
939.4409589,Branch,02-01-2024 20:55,322977326,Ranchi,unknown,fraud,4670.819222,3731.378263
8101.528579,Branch,04-03-2024 01:16,1660650825,Muzaffarpur,unknown,legitimate,12188.37391,4086.845332
544.6218601,Branch,01-01-2024 20:19,6121357441,Nangloi Jat,unknown,legitimate,658.0415526,113.4196925
1958.451816,Branch,28-02-2024 10:47,2032973150,Bhatpara,unknown,legitimate,6979.635979,5021.184163
9089.3836,Mobile,06-03-2024 22:13,1424269326,Ambala,unknown,legitimate,16642.19265,7552.809046
5188.495943,Branch,17-02-2024 18:01,507358199,Akola,unknown,fraud,13438.85561,8250.359666
9680.838506,Branch,16-02-2024 03:06,8139405349,Durgapur,unknown,legitimate,18486.86874,8806.030234
5565.26709,Mobile,20-01-2024 22:37,6502944703,Bhusawal,unknown,fraud,10493.68389,4928.416796
6198.255958,Mobile,03-02-2024 06:00,3172866089,Burhanpur,unknown,fraud,12541.55424,6343.298286
8159.844287,Online,11-01-2024 13:27,2276530951,Bahraich,unknown,legitimate,9047.089449,887.2451616
9653.652158,Branch,03-01-2024 21:51,6796070715,Ratlam,unknown,legitimate,14585.23058,4931.57842
1534.459234,Mobile,03-03-2024 17:40,1265797468,Bharatpur,unknown,fraud,3167.135207,1632.675973
6273.498311,Branch,11-02-2024 12:24,9325648226,Raurkela Industrial Township,unknown,fraud,10032.96518,3759.466864
3689.341986,Mobile,10-01-2024 04:24,7054037091,Guwahati,unknown,legitimate,7049.464583,3360.122597
6116.74601,Online,04-02-2024 03:20,9846749066,Solapur,unknown,legitimate,10409.79772,4293.051715
6624.54956,Branch,19-02-2024 06:43,7355850040,Shimoga,unknown,legitimate,12383.75208,5759.202518
2313.598801,Online,08-02-2024 11:34,8034046206,Tiruppur,unknown,fraud,11352.07761,9038.478806
9290.35377,Online,10-01-2024 04:47,1441219784,Ujjain,unknown,fraud,13295.75162,4005.39785
8309.939313,Branch,12-03-2024 20:25,2349227862,Etawah,unknown,legitimate,18123.13815,9813.198838
4476.859643,Online,24-01-2024 19:26,4099403334,Bhilai,unknown,legitimate,12091.23732,7614.377676
516.7225774,Mobile,04-03-2024 09:05,4568465772,Naihati,unknown,fraud,5680.384941,5163.662363
3665.350434,Branch,01-02-2024 19:00,5905897997,Ozhukarai,unknown,fraud,10141.21216,6475.861727
3981.726411,Branch,10-02-2024 18:04,1715074453,Bahraich,unknown,legitimate,5093.745706,1112.019294
5964.837068,Branch,21-01-2024 13:36,8421056675,Kakinada,unknown,fraud,14425.60023,8460.76316
4764.562199,Mobile,21-01-2024 11:15,1940932645,Warangal,unknown,fraud,10629.901,5865.338805
6175.01524,Online,26-02-2024 12:43,596849879,Saharsa,unknown,legitimate,16037.08329,9862.068054
8304.21894,Online,11-03-2024 11:00,5921521138,Medininagar,unknown,legitimate,14704.8635,6400.644563
7536.653656,Mobile,19-02-2024 11:33,1159500124,Kharagpur,unknown,legitimate,15894.35833,8357.704674
2960.788397,Online,02-03-2024 07:25,1485555728,Karaikudi,unknown,legitimate,10978.43955,8017.651154
9681.814345,Online,25-01-2024 02:16,6251733020,Visakhapatnam,unknown,fraud,13201.87974,3520.0654
9814.450016,Online,18-01-2024 20:51,3415549693,Buxar,unknown,legitimate,12484.59521,2670.14519
6670.344537,Branch,25-01-2024 17:57,2450905941,Indore,unknown,fraud,11032.23101,4361.886476
4988.759001,Online,04-03-2024 05:08,6784746181,Junagadh,unknown,legitimate,9714.44831,4725.68931
614.6945846,Branch,23-01-2024 17:28,6943280557,Bangalore,unknown,legitimate,3091.533134,2476.838549
5924.686988,Mobile,10-03-2024 07:35,746498706,Giridih,unknown,legitimate,14881.20593,8956.518946
9807.625448,Branch,15-02-2024 21:29,4291625374,Bhimavaram,unknown,legitimate,15278.84928,5471.223837
909.0809229,Mobile,20-02-2024 17:21,9371700175,Gandhidham,unknown,fraud,10695.68041,9786.599482
289.3767677,Mobile,09-03-2024 21:04,1712369011,Rampur,unknown,legitimate,8408.55277,8119.176003
1979.765758,Online,11-01-2024 21:41,2016054619,Akola,unknown,legitimate,7581.243876,5601.478118
4232.208345,Online,20-01-2024 16:32,6831760349,Kurnool,unknown,legitimate,13707.9071,9475.698754
9601.931102,Online,05-01-2024 19:33,9159889935,Moradabad,unknown,legitimate,14700.19177,5098.260669
4529.382432,Online,21-01-2024 05:40,4504547205,Khammam,unknown,fraud,13411.73691,8882.354474
1239.947166,Mobile,01-03-2024 05:47,3209147459,Bhiwani,unknown,legitimate,4885.5805,3645.633334
1071.01755,Online,12-03-2024 23:52,7186104682,Chinsurah,unknown,fraud,4919.577145,3848.559596
5918.916673,Branch,25-02-2024 16:07,6926345590,Tumkur,unknown,fraud,10158.41043,4239.493761
7375.765889,Mobile,22-02-2024 03:39,6066418947,Kolkata,unknown,legitimate,12887.35978,5511.593895
8417.069977,Mobile,27-01-2024 02:33,5078771058,Adoni,unknown,legitimate,13996.62365,5579.553675
2968.539384,Mobile,04-01-2024 16:09,6049969302,Nashik,unknown,fraud,7982.888708,5014.349325
3333.728569,Branch,06-01-2024 20:35,4783879786,Dhule,unknown,legitimate,6463.138208,3129.409638
5858.060701,Online,01-03-2024 16:02,4572767719,Dindigul,unknown,legitimate,15137.4047,9279.344001
5613.096587,Mobile,13-03-2024 05:30,4736554700,Hazaribagh,unknown,legitimate,11540.09895,5927.002364
6359.41645,Branch,18-02-2024 03:50,4207308828,Adoni,unknown,fraud,10496.03469,4136.61824
4867.07128,Online,12-02-2024 00:06,7081499717,Jamshedpur,unknown,fraud,11413.72319,6546.651911
463.1637086,Mobile,20-01-2024 12:15,8242945880,Amravati,unknown,fraud,8166.034611,7702.870902
6812.35991,Mobile,07-01-2024 17:58,6799611787,Haridwar,unknown,fraud,16423.56798,9611.208073
6033.09095,Mobile,14-02-2024 05:46,8717576320,Rewa,unknown,legitimate,11078.62766,5045.536706
6408.29462,Branch,06-03-2024 23:15,3020597269,Anand,unknown,fraud,7618.069873,1209.775252
4369.886893,Branch,19-01-2024 12:41,5564519687,Cuttack,unknown,legitimate,8833.468327,4463.581434
7865.614185,Online,01-01-2024 10:33,8205469724,Purnia,unknown,legitimate,12707.42274,4841.808558
2881.535577,Online,18-01-2024 23:43,69460466,Karawal Nagar,unknown,fraud,11861.77695,8980.241374
9375.882448,Branch,29-02-2024 14:45,7449674827,Gorakhpur,unknown,fraud,13384.41006,4008.527608
6818.832571,Branch,11-03-2024 03:52,9160655741,Purnia,unknown,legitimate,16356.74279,9537.910222
1450.077608,Branch,15-02-2024 15:33,6921802130,Noida,unknown,fraud,6352.883495,4902.805886
9251.522334,Online,25-01-2024 12:46,2675028944,Vijayanagaram,unknown,fraud,18991.94929,9740.42696
273.7683973,Branch,03-01-2024 15:54,1469723308,Baranagar,unknown,legitimate,454.9317765,181.1633792
9774.024424,Online,01-02-2024 18:56,1511004730,Thiruvananthapuram,unknown,fraud,18772.29663,8998.272211
4692.92063,Mobile,03-02-2024 00:38,4026069247,Faridabad,unknown,fraud,14011.0131,9318.092474
1074.116932,Online,02-03-2024 04:54,6224506782,Hubli–Dharwad,unknown,fraud,10688.2242,9614.107264
3706.271624,Mobile,06-01-2024 15:06,8843392289,Sikar,unknown,fraud,3935.729313,229.4576883
4923.927006,Branch,16-03-2024 19:50,9076152073,Ballia,unknown,legitimate,6723.765287,1799.838282
1514.135452,Online,02-01-2024 23:48,1653455486,Lucknow,unknown,legitimate,8086.404032,6572.268581
7097.094447,Online,24-02-2024 21:53,8932852147,Morena,unknown,fraud,7449.274095,352.1796482
9500.254174,Mobile,03-03-2024 20:17,3941643436,Chinsurah,unknown,fraud,10229.98324,729.7290621
6400.463072,Branch,15-03-2024 02:01,2254160147,Tadipatri,unknown,fraud,8689.143921,2288.68085
2496.018592,Mobile,01-01-2024 10:25,5721934256,Ahmednagar,unknown,legitimate,7669.172302,5173.153711
4011.795985,Mobile,15-02-2024 11:57,3654734915,Kamarhati,unknown,legitimate,9516.231322,5504.435337
2563.038709,Branch,06-01-2024 17:29,5587694571,Bokaro,unknown,legitimate,3002.223824,439.1851157
7400.59431,Mobile,07-03-2024 00:52,8304702171,Mysore,unknown,fraud,9187.230093,1786.635783
665.1598753,Online,19-01-2024 06:50,5483643392,Baranagar,unknown,fraud,5712.246041,5047.086166
4062.101531,Online,12-03-2024 18:10,3162171762,Rohtak,unknown,legitimate,10042.11368,5980.012147
7430.713706,Mobile,13-01-2024 13:40,7552855058,Bhavnagar,unknown,legitimate,8999.890502,1569.176795
4881.391834,Online,30-01-2024 15:31,1364591299,Tiruppur,unknown,fraud,8929.921812,4048.529978
8434.10489,Branch,01-03-2024 07:15,940541133,Bhind,unknown,fraud,17487.67911,9053.574222
5244.15559,Branch,07-03-2024 03:05,292340698,Chittoor,unknown,legitimate,15233.25853,9989.102942
4170.85514,Mobile,01-02-2024 15:29,4449540036,Nangloi Jat,unknown,legitimate,14044.27824,9873.423103
5278.668657,Mobile,09-01-2024 01:46,9788291791,Sirsa,unknown,fraud,14107.24631,8828.577652
2728.414434,Branch,22-02-2024 15:03,96913440,Bhusawal,unknown,legitimate,6735.549304,4007.134871
9688.038898,Branch,21-01-2024 01:14,7115616823,Bhusawal,unknown,fraud,16585.12439,6897.085492
6951.529106,Branch,12-02-2024 12:58,6206597658,Rourkela,unknown,legitimate,11175.79216,4224.263055
4463.551195,Branch,27-01-2024 19:26,7316698859,Bijapur,unknown,fraud,10983.96876,6520.417566
6387.427144,Branch,15-03-2024 01:35,6786405176,Kakinada,unknown,fraud,9550.808606,3163.381463
1756.48091,Mobile,18-02-2024 05:04,6097463654,Nashik,unknown,legitimate,7857.88322,6101.402311
2158.073926,Online,19-01-2024 23:03,9098274855,Kozhikode,unknown,fraud,7443.283042,5285.209116
8397.734252,Online,02-01-2024 00:23,2898100462,Phusro,unknown,legitimate,8740.088884,342.3546316
431.9711039,Online,13-02-2024 15:25,7958820640,Shimla,unknown,fraud,8359.929851,7927.958747
6140.068428,Mobile,25-02-2024 01:28,2782106643,Thanjavur,unknown,legitimate,6357.856967,217.7885392
1900.612836,Online,31-01-2024 00:45,2765837123,Ballia,unknown,fraud,4902.856664,3002.243828
9644.376323,Mobile,17-01-2024 13:13,1180652595,Maheshtala,unknown,legitimate,9803.024571,158.648248
2481.262693,Online,15-02-2024 05:33,1942893360,Ranchi,unknown,legitimate,6305.656685,3824.393992
1044.073121,Branch,28-02-2024 01:38,2413839567,Sagar,unknown,legitimate,1769.362349,725.2892288
6955.678984,Mobile,15-03-2024 12:58,4466444099,Miryalaguda,unknown,legitimate,16099.43756,9143.758572
2076.770443,Branch,24-02-2024 06:00,5299397390,Ratlam,unknown,fraud,6291.995465,4215.225022
7558.93643,Mobile,26-01-2024 02:30,7800515062,Mathura,unknown,legitimate,12207.9446,4649.008171
4365.786484,Mobile,01-03-2024 16:27,8452928975,Bongaigaon,unknown,fraud,7929.303822,3563.517337
4332.656082,Mobile,15-03-2024 01:36,5141813190,Bhagalpur,unknown,fraud,10644.96701,6312.310927
1684.709186,Branch,06-03-2024 04:01,2851027855,Amroha,unknown,fraud,9550.349541,7865.640355
3459.122146,Online,16-03-2024 05:54,2350222717,Bardhaman,unknown,legitimate,9975.774903,6516.652756
2653.622114,Branch,08-02-2024 01:33,9747329048,Raebareli,unknown,fraud,10160.87259,7507.250472
1271.52829,Mobile,26-01-2024 03:44,8150575241,Amroha,unknown,fraud,10340.66756,9069.139269
1491.474379,Online,27-01-2024 12:34,4015504221,Guwahati,unknown,legitimate,10140.58504,8649.110664
3755.879625,Branch,10-01-2024 10:15,960110144,Hosur,unknown,legitimate,10529.05831,6773.178682
6493.641624,Branch,20-01-2024 10:38,3696894485,Sambhal,unknown,legitimate,8718.557457,2224.915833
1131.825548,Mobile,22-02-2024 11:02,9896358152,Sasaram,unknown,legitimate,7545.083773,6413.258225
2732.691661,Branch,12-02-2024 07:10,2378306508,Bhiwandi,unknown,legitimate,7842.914309,5110.222648
9450.040969,Branch,15-02-2024 13:01,7345405389,Sultan Pur Majra,unknown,legitimate,16650.51136,7200.470387
3642.359433,Mobile,05-02-2024 00:22,4610818229,Hapur,unknown,legitimate,11988.38275,8346.023319
2072.27489,Online,03-02-2024 22:06,8556485687,Karimnagar,unknown,legitimate,9525.217712,7452.942822
9522.936676,Mobile,03-03-2024 13:31,4419311786,Moradabad,unknown,fraud,18003.89226,8480.955583
2651.060596,Branch,19-01-2024 20:57,4128828887,Shahjahanpur,unknown,fraud,3383.337692,732.2770961
5873.588962,Branch,18-01-2024 18:03,1486464056,Danapur,unknown,legitimate,6286.627341,413.0383786
6172.772753,Branch,21-01-2024 00:32,1442624936,Arrah,unknown,fraud,8831.928373,2659.15562
5173.776223,Online,27-01-2024 11:58,5983814735,Visakhapatnam,unknown,fraud,14190.37046,9016.594233
3524.186861,Mobile,04-02-2024 19:52,4466537967,Sasaram,unknown,legitimate,11778.41345,8254.226585
4816.726165,Mobile,15-02-2024 08:31,3890304265,Akola,unknown,legitimate,11675.72641,6859.000248
1070.276079,Online,18-01-2024 11:36,2653083953,Faridabad,unknown,legitimate,8107.786887,7037.510808
1482.547422,Branch,21-02-2024 20:05,5421597558,Bidhannagar,unknown,fraud,8776.585068,7294.037646
1893.714463,Branch,14-03-2024 10:43,7868452593,Bhalswa Jahangir Pur,unknown,legitimate,11325.4812,9431.766735
3544.619975,Branch,18-02-2024 21:12,5300229316,Tinsukia,unknown,fraud,11883.31238,8338.692408
9279.060413,Online,06-03-2024 10:04,8235409214,Aizawl,unknown,fraud,15550.62524,6271.564832
1100.353529,Online,07-02-2024 23:28,4547139862,Panchkula,unknown,fraud,7790.936338,6690.582809
988.6190555,Branch,24-02-2024 12:50,5186013921,Jaunpur,unknown,legitimate,3204.64765,2216.028594
3978.927857,Mobile,17-02-2024 08:13,1056950396,Solapur,unknown,legitimate,10586.38423,6607.456369
9943.869997,Mobile,01-02-2024 15:44,4857325421,Avadi,unknown,legitimate,14248.19222,4304.322223
334.0220019,Mobile,13-01-2024 07:32,6946525991,Amaravati,unknown,fraud,1948.344521,1614.322519
7275.191038,Mobile,06-01-2024 20:57,5177535318,Hapur,unknown,fraud,15358.57895,8083.387911
7390.797933,Branch,06-02-2024 03:29,6205787654,Jamalpur,unknown,fraud,12542.24422,5151.446288
7175.716452,Branch,15-03-2024 23:28,7261683686,Kochi,unknown,legitimate,16952.22436,9776.507913
7854.650031,Branch,08-02-2024 09:27,8250919394,Rewa,unknown,legitimate,10743.27564,2888.625609
909.4144163,Branch,11-02-2024 15:43,877090294,Tirunelveli,unknown,fraud,5768.048528,4858.634112
897.9549862,Online,29-01-2024 04:05,1054875159,Gudivada,unknown,fraud,5433.109987,4535.155001
5835.21322,Online,15-01-2024 17:29,9041863081,Ballia,unknown,legitimate,7130.930492,1295.717272
1623.609056,Mobile,08-01-2024 08:08,8933010356,Deoghar,unknown,legitimate,5942.150317,4318.54126
1915.704648,Mobile,20-02-2024 18:10,352744332,Maheshtala,unknown,fraud,4862.483866,2946.779219
3069.199204,Online,01-01-2024 12:51,9303476889,Dindigul,unknown,fraud,4756.37187,1687.172667
9401.039521,Online,30-01-2024 01:53,9604741559,Etawah,unknown,fraud,12294.3798,2893.340282
4068.429026,Online,20-02-2024 21:05,9959048713,Navi Mumbai,unknown,fraud,6477.620769,2409.191744
1143.392859,Online,27-02-2024 09:43,829163509,Dehradun,unknown,legitimate,8510.720816,7367.327957
4020.107679,Mobile,10-02-2024 23:37,5932184238,Katni,unknown,fraud,4424.781944,404.6742648
6057.886666,Online,24-01-2024 00:15,7279794031,Arrah,unknown,legitimate,12270.76787,6212.881204
1507.157526,Branch,16-02-2024 06:26,132720859,Jaunpur,unknown,legitimate,9137.704812,7630.547286
1276.297371,Branch,11-01-2024 06:44,6746181392,Khora ,unknown,fraud,6135.45959,4859.162219
1759.430241,Online,04-03-2024 22:49,4355491188,Dewas,unknown,fraud,11081.92354,9322.493302
3619.380803,Mobile,01-01-2024 15:00,9536988752,Karaikudi,unknown,fraud,10727.39969,7108.018883
5586.84249,Online,18-01-2024 16:46,9375193465,Warangal,unknown,fraud,13091.28664,7504.444148
3741.053014,Branch,11-01-2024 11:51,7162629661,Kamarhati,unknown,fraud,5790.69454,2049.641526
6794.157865,Mobile,15-01-2024 17:50,8502161519,Rajkot,unknown,fraud,14589.38407,7795.226201
5405.757281,Mobile,20-01-2024 09:52,2202184545,Saharanpur,unknown,legitimate,13743.49517,8337.737887
6737.299905,Online,13-01-2024 04:10,837372169,Ramagundam,unknown,legitimate,10413.83715,3676.537245
6531.365701,Mobile,02-02-2024 11:59,3734919365,Bathinda,unknown,fraud,8743.660074,2212.294374
3634.590505,Mobile,07-01-2024 19:53,1980046802,Shimoga,unknown,legitimate,7546.592229,3912.001724
9093.660557,Online,05-02-2024 07:19,4058709884,Karawal Nagar,unknown,fraud,16515.77945,7422.118893
5248.67341,Online,06-02-2024 22:31,4271161919,Bangalore,unknown,fraud,9483.299568,4234.626158
8332.031498,Online,30-01-2024 08:32,7552099406,Tadepalligudem,unknown,legitimate,15724.88506,7392.853565
9271.9916,Mobile,05-01-2024 00:25,1920009079,Jodhpur,unknown,legitimate,10496.28056,1224.288956
2424.068775,Online,14-02-2024 14:20,7516180214,Nanded,unknown,legitimate,10503.58471,8079.515934
2668.291991,Online,30-01-2024 13:45,5550698955,Ambattur,unknown,fraud,5275.046059,2606.754068
4947.476353,Branch,08-01-2024 05:35,6076220557,Moradabad,unknown,legitimate,7511.873331,2564.396978
1621.541324,Branch,13-03-2024 04:30,7874341169,Tirunelveli,unknown,legitimate,7566.31288,5944.771556
4567.269507,Mobile,16-03-2024 18:12,9540340063,Warangal,unknown,fraud,5361.43816,794.1686529
7858.164826,Mobile,15-03-2024 10:20,565749163,Tumkur,unknown,fraud,8218.51232,360.3474942
1175.95714,Online,10-02-2024 13:37,3588747131,Guntur,unknown,legitimate,3860.140926,2684.183786
8242.55758,Branch,09-01-2024 09:06,2808230528,Kamarhati,unknown,fraud,13669.42633,5426.868752
4936.106763,Branch,16-01-2024 00:19,575544463,Mangalore,unknown,legitimate,14021.50899,9085.402224
8365.809344,Mobile,10-03-2024 11:03,9874344885,Loni,unknown,fraud,16845.51759,8479.708245
1934.768777,Mobile,28-01-2024 07:23,3571148266,Panihati,unknown,legitimate,6890.188731,4955.419953
5185.707767,Mobile,05-01-2024 12:38,4663696846,Bhilwara,unknown,legitimate,5652.522504,466.8147376
